num_vars,seed,true_edges,edge_density,max_eigenvalue_real,DirectSF2M_AUROC,DirectSF2M_AUPRC,DirectSF2M_training_time,DirectSF2M_num_true_edges,hparam_n_steps,hparam_batch_size,hparam_reg,hparam_alpha,hparam_lr,hparam_knockout_hidden,config_id,experiment_id,total_experiments
10,165,27,0.27,0.9963180699495502,0.512937595129376,0.27521072796934865,17.381033897399902,27,2000,128,0.0001,0.1,0.003,256,135,408,648
10,962,25,0.25,0.7146712559397453,0.5666666666666667,0.2777777777777778,12.726486921310425,25,2000,128,0.0001,0.1,0.005,128,136,409,648
10,283,27,0.27,0.9467484666911842,0.5410958904109588,0.3,14.225872278213501,27,2000,128,0.0001,0.1,0.005,128,136,410,648
10,165,27,0.27,0.9963180699495502,0.5684931506849316,0.3,12.143321990966797,27,2000,128,0.0001,0.1,0.005,128,136,411,648
10,962,25,0.25,0.7146712559397453,0.5666666666666667,0.2777777777777778,18.710020065307617,25,2000,128,0.0001,0.1,0.005,256,137,412,648
10,283,27,0.27,0.9467484666911842,0.5684931506849316,0.3,22.22523069381714,27,2000,128,0.0001,0.1,0.005,256,137,413,648
10,165,27,0.27,0.9963180699495502,0.5684931506849316,0.3,19.79493284225464,27,2000,128,0.0001,0.1,0.005,256,137,414,648
10,962,25,0.25,0.7146712559397453,0.5,0.25,12.719836950302124,25,2000,128,0.0001,0.3,0.001,128,138,415,648
10,283,27,0.27,0.9467484666911842,0.5,0.27,14.51458191871643,27,2000,128,0.0001,0.3,0.001,128,138,416,648
10,165,27,0.27,0.9963180699495502,0.5,0.27,15.093483924865723,27,2000,128,0.0001,0.3,0.001,128,138,417,648
10,962,25,0.25,0.7146712559397453,0.5,0.25,19.017907857894897,25,2000,128,0.0001,0.3,0.001,256,139,418,648
10,283,27,0.27,0.9467484666911842,0.5,0.27,20.401927947998047,27,2000,128,0.0001,0.3,0.001,256,139,419,648
10,165,27,0.27,0.9963180699495502,0.5,0.27,17.911412000656128,27,2000,128,0.0001,0.3,0.001,256,139,420,648
10,962,25,0.25,0.7146712559397453,0.5,0.25,14.22151780128479,25,2000,128,0.0001,0.3,0.003,128,140,421,648
10,283,27,0.27,0.9467484666911842,0.5,0.27,17.279320240020752,27,2000,128,0.0001,0.3,0.003,128,140,422,648
10,165,27,0.27,0.9963180699495502,0.5,0.27,12.144186019897461,27,2000,128,0.0001,0.3,0.003,128,140,423,648
10,962,25,0.25,0.7146712559397453,0.5466666666666666,0.268876404494382,18.247354745864868,25,2000,128,0.0001,0.3,0.003,256,141,424,648
10,283,27,0.27,0.9467484666911842,0.5705225773718925,0.30112833763996555,17.589904308319092,27,2000,128,0.0001,0.3,0.003,256,141,425,648
10,165,27,0.27,0.9963180699495502,0.5753424657534247,0.30337078651685395,20.91697406768799,27,2000,128,0.0001,0.3,0.003,256,141,426,648
10,962,25,0.25,0.7146712559397453,0.5666666666666667,0.2777777777777778,14.87584376335144,25,2000,128,0.0001,0.3,0.005,128,142,427,648
10,283,27,0.27,0.9467484666911842,0.5684931506849316,0.3,14.484129905700684,27,2000,128,0.0001,0.3,0.005,128,142,428,648
10,165,27,0.27,0.9963180699495502,0.5684931506849316,0.3,13.033814907073975,27,2000,128,0.0001,0.3,0.005,128,142,429,648
10,962,25,0.25,0.7146712559397453,0.5666666666666667,0.2777777777777778,20.264724016189575,25,2000,128,0.0001,0.3,0.005,256,143,430,648
10,283,27,0.27,0.9467484666911842,0.5684931506849316,0.3,18.102911949157715,27,2000,128,0.0001,0.3,0.005,256,143,431,648
10,165,27,0.27,0.9963180699495502,0.5684931506849316,0.3,20.325556993484497,27,2000,128,0.0001,0.3,0.005,256,143,432,648
10,962,25,0.25,0.7146712559397453,0.6768000000000001,0.4282950925514233,26.265644788742065,25,5000,64,1e-06,0.1,0.001,128,144,433,648
10,283,27,0.27,0.9467484666911842,0.7957889396245561,0.6071861642607641,26.147905111312866,27,5000,64,1e-06,0.1,0.001,128,144,434,648
10,165,27,0.27,0.9963180699495502,0.7475900558092339,0.6279170755352939,26.010132312774658,27,5000,64,1e-06,0.1,0.001,128,144,435,648
10,962,25,0.25,0.7146712559397453,0.7298666666666666,0.5275046403728956,32.52437400817871,25,5000,64,1e-06,0.1,0.001,256,145,436,648
10,283,27,0.27,0.9467484666911842,0.6007102993404363,0.4408061591640023,31.32567000389099,27,5000,64,1e-06,0.1,0.001,256,145,437,648
10,165,27,0.27,0.9963180699495502,0.7648401826484018,0.6548494307133241,32.365927934646606,27,5000,64,1e-06,0.1,0.001,256,145,438,648
10,962,25,0.25,0.7146712559397453,0.6949333333333334,0.46825684342327145,21.24204993247986,25,5000,64,1e-06,0.1,0.003,128,146,439,648
10,283,27,0.27,0.9467484666911842,0.7813292744799595,0.5059070884671403,21.814012050628662,27,5000,64,1e-06,0.1,0.003,128,146,440,648
10,165,27,0.27,0.9963180699495502,0.802130898021309,0.6780415052283226,21.2545268535614,27,5000,64,1e-06,0.1,0.003,128,146,441,648
10,962,25,0.25,0.7146712559397453,0.7725333333333333,0.5298453662456513,28.732772827148438,25,5000,64,1e-06,0.1,0.003,256,147,442,648
